"ID","Status","Comment","Assertion"
"td-action-arrays","null","not testable with Assertion Tester","The value assigned to forms in an instance of ActionAffordance MUST be serialized as a JSON array containing one or more JSON object serializations as defined in ."
"td-action-names","null","not testable with Assertion Tester","All name-value pairs of an instance of ActionAffordance, where the name is a Vocabulary Term included in (one of) the Signatures of ActionAffordance or InteractionAffordance, MUST be serialized as members of the JSON object that results from serializing the ActionAffordance instance, with the Vocabulary Term as name."
"td-action-names_at-type","null","not testable with Assertion Tester","The vocabulary term @type MUST be serialized as a JSON name within an Action object."
"td-action-names_description","null","not testable with Assertion Tester","The vocabulary term description MUST be serialized as a JSON name within an Action object."
"td-action-names_descriptions","null","not testable with Assertion Tester","The vocabulary term descriptions MUST be serialized as a JSON name within an Action object."
"td-action-names_forms","null","not testable with Assertion Tester","The vocabulary term forms MUST be serialized as a JSON name within an Action object."
"td-action-names_idempotent","null","not testable with Assertion Tester","The vocabulary term idempotent MUST be serialized as a JSON name within an Action object."
"td-action-names_input","null","not testable with Assertion Tester","The vocabulary term input MUST be serialized as a JSON name within an Action object."
"td-action-names_output","null","not testable with Assertion Tester","The vocabulary term output MUST be serialized as a JSON name within an Action object."
"td-action-names_safe","null","not testable with Assertion Tester","The vocabulary term safe MUST be serialized as a JSON name within an Action object."
"td-action-names_title","null","not testable with Assertion Tester","The vocabulary term title MUST be serialized as a JSON name within an Action object."
"td-action-names_titles","null","not testable with Assertion Tester","The vocabulary term titles MUST be serialized as a JSON name within an Action object."
"td-action-names_uriVariables","null","not testable with Assertion Tester","The vocabulary term uriVariables MUST be serialized as a JSON name within an Action object."
"td-action-objects","null","not testable with Assertion Tester","The values assigned to input and output in an instance of ActionAffordance MUST be serialized as JSON objects."
"td-action-objects_input","null","not testable with Assertion Tester","The type of the members input MUST be serialized as a JSON object."
"td-action-objects_output","null","not testable with Assertion Tester","The type of the members output MUST be serialized as a JSON object."
"td-actions","null","not testable with Assertion Tester","All name-value pairs of a Map of ActionAffordance instances MUST be serialized as members of the JSON object that results from serializing the Map; the name of a pair MUST be serialized as a JSON string and the value of the pair, an instance of ActionAffordance, MUST be serialized as a JSON object."
"td-actions_existence","null","not testable with Assertion Tester","Actions offered by a Thing MUST be collected in the JSON-object based actions member."
"td-actions_uniqueness","null","not testable with Assertion Tester","Actions collected in the JSON-object based actions member MUST have unique JSON names."
"td-additionalExpectedResponse-contentType","null","not testable with Assertion Tester","If the content type of an additional expected response differs from the content type of the form, the `Form` instance MUST include an entry in the array associated with the name `additionalResponses`."
"td-additionalExpectedResponse-missing-contentType","null","not testable with Assertion Tester","If there is no `contentType` value defined in an additional expected response object, a Consumer MUST expect that the respective response does not contain any payload."
"td-additionalExpectedResponse-noSchemaWithoutPayload","null","not testable with Assertion Tester","The `schema` of an additional expected response object MUST NOT be defined when there is no `contentType` present."
"td-additionalExpectedResponse-schema","null","not testable with Assertion Tester","If the data schema of an additional expected response differs from the output data schema of the interaction, the `Form` MUST include an entry in the array associated with the name `additionalResponses` that includes a value for the name `schema`."
"td-array-type","null","not testable with Assertion Tester","A value of type Array MUST be serialized as JSON array, with each value of the name-value pairs as element of the JSON array ordered by the numeric name of the pair."
"td-arrays","null","not testable with Assertion Tester","All values assigned to links, and forms in an instance of the Class Thing MUST be serialized as JSON arrays containing JSON objects as defined in and , respectively."
"td-arrays_forms","null","not testable with Assertion Tester","The type of the member forms MUST be a JSON array."
"td-arrays_links","null","not testable with Assertion Tester","The type of the member links MUST be a JSON array."
"td-binding-multiple-ops","null","not testable with Assertion Tester","When a forms entry has multiple op values, the form MUST NOT restrict the messages that can be sent by the Consumer to only one operation."
"td-bindings-correct-methods","null","not testable with Assertion Tester","Every operation MUST be unambiguously mapped to a method or message type from the standard set of the protocol identified by the URI scheme found in href or base in the Thing level."
"td-bindings-requirements-scheme","null","not testable with Assertion Tester","Every form in a WoT Thing Description MUST follow the requirements of the Protocol Binding indicated by the URI scheme [[!RFC3986]] of its href member."
"td-bindings-server-accept","null","not testable with Assertion Tester","Every form in a WoT Thing Description MUST accurately describe requests (including request headers, if present) accepted by the Thing in an interaction."
"td-boolean-type","null","not testable with Assertion Tester","Values that are of type boolean MUST be serialized as JSON boolean."
"td-class-type","null","not testable with Assertion Tester","A Class instance MUST be serialized as a JSON object, following the detailed rules given individually in ."
